date,year,season,RONI
1950-01,1950,DJF,-1.5
1950-02,1950,JFM,-1.3
1950-03,1950,FMA,-1.1
1950-04,1950,MAM,-1.1
1950-05,1950,AMJ,-1.0
1950-06,1950,MJJ,-0.7
1950-07,1950,JJA,-0.4
1950-08,1950,JAS,-0.2
1950-09,1950,ASO,-0.2
1950-10,1950,SON,-0.3
1950-11,1950,OND,-0.4
1950-12,1950,NDJ,-0.6
1951-01,1951,DJF,-0.5
1951-02,1951,JFM,-0.2
1951-03,1951,FMA,0.3
1951-04,1951,MAM,0.6
1951-05,1951,AMJ,0.6
1951-06,1951,MJJ,0.7
1951-07,1951,JJA,0.7
1951-08,1951,JAS,0.8
1951-09,1951,ASO,0.9
1951-10,1951,SON,1.0
1951-11,1951,OND,0.9
1951-12,1951,NDJ,0.8
1952-01,1952,DJF,0.6
1952-02,1952,JFM,0.4
1952-03,1952,FMA,0.4
1952-04,1952,MAM,0.4
1952-05,1952,AMJ,0.3
1952-06,1952,MJJ,0.1
1952-07,1952,JJA,0.0
1952-08,1952,JAS,0.0
1952-09,1952,ASO,0.1
1952-10,1952,SON,0.0
1952-11,1952,OND,0.0
1952-12,1952,NDJ,0.2
1953-01,1953,DJF,0.5
1953-02,1953,JFM,0.8
1953-03,1953,FMA,0.8
1953-04,1953,MAM,0.8
1953-05,1953,AMJ,0.8
1953-06,1953,MJJ,0.8
1953-07,1953,JJA,0.7
1953-08,1953,JAS,0.7
1953-09,1953,ASO,0.7
1953-10,1953,SON,0.8
1953-11,1953,OND,0.8
1953-12,1953,NDJ,0.9
1954-01,1954,DJF,1.0
1954-02,1954,JFM,0.7
1954-03,1954,FMA,0.1
1954-04,1954,MAM,-0.2
1954-05,1954,AMJ,-0.3
1954-06,1954,MJJ,-0.3
1954-07,1954,JJA,-0.5
1954-08,1954,JAS,-0.7
1954-09,1954,ASO,-0.8
1954-10,1954,SON,-0.7
1954-11,1954,OND,-0.6
1954-12,1954,NDJ,-0.4
1955-01,1955,DJF,-0.4
1955-02,1955,JFM,-0.3
1955-03,1955,FMA,-0.3
1955-04,1955,MAM,-0.4
1955-05,1955,AMJ,-0.4
1955-06,1955,MJJ,-0.4
1955-07,1955,JJA,-0.4
1955-08,1955,JAS,-0.6
1955-09,1955,ASO,-1.0
1955-10,1955,SON,-1.4
1955-11,1955,OND,-1.6
1955-12,1955,NDJ,-1.3
1956-01,1956,DJF,-0.7
1956-02,1956,JFM,-0.3
1956-03,1956,FMA,-0.2
1956-04,1956,MAM,-0.1
1956-05,1956,AMJ,0.0
